Date;M1M;M3M;M6M;M9M;M1Y;M2Y;M3Y;M4Y;M5Y;M6Y;M7Y;M8Y;M9Y;M10Y;M11Y;M12Y
01.01.2004;2.151;2.171;2.1906;2.2304;2.304;2.7751;3.1589;3.4725;3.7226;3.9331;4.1173;4.2737;4.4026;4.5087;4.6019;4.6882
08.01.2004;2.1325;2.1491;2.1484;2.1849;2.2542;2.6667;3.0529;3.3688;3.6186;3.84;4.0324;4.1943;4.3289;4.4408;4.54;4.6325
15.01.2004;2.1077;2.1256;2.1337;2.165;2.2249;2.6113;2.9793;3.2924;3.5476;3.7687;3.9608;4.1254;4.2628;4.3776;4.4831;4.5752
22.01.2004;2.1232;2.1205;2.1046;2.1219;2.175;2.5588;2.9292;3.25;3.5104;3.7369;3.9345;4.1048;4.2449;4.3626;4.4678;4.5631
29.01.2004;2.1243;2.137;2.1589;2.2093;2.2887;2.7093;3.0905;3.4119;3.67;3.8943;4.0896;4.2547;4.3923;4.5107;4.6132;4.7057
05.02.2004;2.115;2.1287;2.1217;2.1498;2.2109;2.6014;2.9822;3.3059;3.5691;3.7986;3.9992;4.1697;4.31;4.431;4.5364;4.6318
12.02.2004;2.1057;2.1123;2.1005;2.1165;2.1632;2.5159;2.8862;3.2149;3.4832;3.7179;3.9239;4.0999;4.249;4.3727;4.4809;4.5793
19.02.2004;2.1016;2.105;2.0993;2.1214;2.174;2.5284;2.8858;3.2146;3.4857;3.726;3.9377;4.1166;4.2687;4.3956;4.507;4.6086
26.02.2004;2.1036;2.0978;2.0704;2.0791;2.1184;2.449;2.808;3.1391;3.42;3.6653;3.8822;4.0652;4.2213;4.3539;4.468;4.5683
04.03.2004;2.087;2.0988;2.0938;2.1183;2.1697;2.5067;2.8581;3.1788;3.449;3.6863;3.8977;4.075;4.2253;4.3487;4.4567;4.5538
11.03.2004;2.1036;2.1029;2.0692;2.0683;2.0958;2.3662;2.6848;2.9926;3.2623;3.4989;3.7114;3.8927;4.0478;4.1773;4.2904;4.3876
